start_node_id,end_node_id,properties.SelectionDate,properties.MomentShowed,properties.SceneDescription
Last without a Sunset,Enterprise-wide directional intranet,2018-8-26,2:25,Cancion nostalgica para el recuerdo del pasado
First under the Sunrise,User-centric multimedia concept,2000-2-6,2:31,Musica para la escena de persecucion
Bright under the Sunset,Focused asynchronous software,2013-10-26,1:17,Cancion con ritmo rapido para la accion intensa
Love without a Moon,Fully-configurable global concept,2018-10-13,3:29,Melodia para la escena romantica
Dark beyond the Sunrise,Networked cohesive definition,2001-10-27,0:19,Pieza epica para el climax de la batalla
Star in the Night,Focused asynchronous software,2012-7-10,3:60,Melodia para la escena romantica
Star without a Star,Fully-configurable real-time matrix,2006-7-8,0:37,Cancion de amor para el encuentro emotivo
First without a Love,Mandatory zero administration implementation,2019-4-8,0:48,Cancion melancolica para la escena triste
Sky for a Sunrise,Exclusive uniform success,2016-1-26,0:30,Cancion reproducida durante la escena de accion
First in the Dream,Ameliorated fresh-thinking superstructure,2016-5-20,1:28,Pieza epica para el climax de la batalla
Day of the Sunset,Reactive 4thgeneration approach,2019-6-22,2:57,Pieza instrumental durante la escena de suspense
Dream for a Moon,Decentralized disintermediate orchestration,2016-8-6,2:35,Pieza instrumental durante la escena de suspense
Lonely Star,Reduced empowering customer loyalty,2001-2-7,2:45,Musica reflexiva para la introspeccion del personaje
Final Dream,Up-sized 5thgeneration capability,2007-3-14,2:30,Cancion utilizada en el climax emocional
Last of the Moon,Operative non-volatile pricing structure,2002-1-24,1:57,Cancion nostalgica para el recuerdo del pasado
Bright Sky,Customer-focused asynchronous middleware,2016-12-22,2:10,Cancion de fondo durante la escena de lucha
Final without a Heart,Distributed non-volatile application,2011-8-17,0:12,Musica para la escena de persecucion
Love beyond the Night,Multi-layered high-level flexibility,2001-3-13,1:7,Cancion con ritmo rapido para la accion intensa
Sunset in the Love,Synergistic actuating extranet,2013-3-15,2:56,Tematica heroica para el enfrentamiento final
Beautiful for a Moon,Front-line attitude-oriented project,2013-2-21,3:11,Melodia suave para la reconciliacion
Lonely Sunrise,Visionary high-level conglomeration,2011-7-14,0:18,Cancion de fondo durante la escena de lucha
Happy Moon,Pre-emptive grid-enabled migration,2019-8-19,0:9,Cancion energetica para la secuencia de persecucion
Sky under the Moon,Open-source global task-force,2005-10-24,3:24,Musica para la escena de persecucion
Dark Love,Optimized client-server encryption,2014-6-18,2:6,Cancion dramatica para el momento crucial
First Moon,Balanced fresh-thinking adapter,2006-1-19,3:17,Tematica instrumental para el desarrollo narrativo
