start_node_id,end_node_id,properties.Role,properties.Since,properties.Until
Jessica Thomas,Right-sized needs-based middleware,Asistente de efectos especiales,2014-3-15,1960-1-21
Thomas Johnson,Focused fault-tolerant conglomeration,Casting,1982-11-2,1927-10-20
Mark Taylor,Multi-layered high-level flexibility,Sonidista,1964-5-4,1900-11-7
Robert Wilson,Cross-group full-range framework,Asistente de maquillaje,1950-9-19,2009-1-5
James Brown,Seamless modular pricing structure,Actor,1982-11-28,1912-10-18
Jennifer Martinez,Cloned analyzing groupware,Guionista,2017-6-10,1903-11-20
Robert Jones,Team-oriented background model,Productor,1910-4-9,2011-5-5
Elizabeth Hall,Versatile upward-trending forecast,Editor,1947-7-16,2017-8-14
James Moore,Face-to-face foreground task-force,Asistente de musica,1922-10-8,1943-6-9
Sarah Martin,Customizable stable approach,Asistente de camara,1996-7-26,2003-1-16
David Jones,Profit-focused system-worthy solution,Asistente de efectos visuales,1935-7-16,1916-7-18
Christopher Anderson,Focused well-modulated circuit,Sonidista,2010-11-27,1935-6-17
David Johnson,Vision-oriented composite functionalities,Maquillador,1904-1-24,1950-1-1
Margaret Anderson,Ameliorated fresh-thinking superstructure,Asistente de maquillaje,1953-4-27,1955-12-5
Linda Thompson,Monitored fault-tolerant model,Asistente de camara,2000-10-20,2013-3-16
Patricia Harris,Persevering stable service-desk,Asistente de direccion,1906-10-28,1999-2-14
Patricia Young,Business-focused holistic application,Asistente de produccion,1961-6-25,1976-6-20
Matthew Brown,Automated system-worthy website,Disenador de produccion,1960-1-4,1969-7-15
Mark Jones,Focused hybrid knowledge user,Casting,1969-2-7,1980-4-16
Matthew Martin,Virtual asymmetric policy,Maquillador,1921-8-17,2004-5-16
Karen White,Integrated zero-defect synergy,Efectos visuales,1930-2-24,1951-10-20
Richard Rodriguez,Cloned executive moratorium,Asistente de arte,1943-3-23,1913-11-16
William White,Function-based client-server projection,Asistente de camara,2000-6-11,1955-2-8
John Rodriguez,Centralized optimal functionalities,Sonidista,1967-8-9,1965-12-2
Daniel Jones,Adaptive solution-oriented throughput,Asistente de direccion,1914-11-14,1926-7-9
Thomas Taylor,Devolved regional system engine,Asistente de camara,1905-2-28,1914-9-8
Elizabeth Martin,Customer-focused needs-based Graphical User Interface,Director,2010-12-21,1903-7-7
Richard Allen,Persistent client-server artificial intelligence,Guionista,1909-7-26,1987-11-18
David Thompson,Devolved coherent software,Disenador de vestuario,1972-1-22,2016-9-13
David Jones,Fundamental intermediate alliance,Asistente de camara,1991-5-22,1999-12-1
William Moore,Customizable optimizing array,Asistente de arte,1965-9-16,1982-10-23
James Allen,Ameliorated fresh-thinking superstructure,Editor,1981-8-24,2007-8-17
Jennifer Jackson,Face-to-face fresh-thinking productivity,Efectos visuales,2007-10-12,1938-8-3
Mary Walker,Versatile cohesive portal,Asistente de sonido,1900-7-19,1931-2-11
Patricia White,Grass-roots mobile open system,Camarografo,2009-6-22,1969-9-20
Jessica Thomas,Vision-oriented composite circuit,Actor,1910-11-10,1921-6-19
Patricia Anderson,Innovative asymmetric migration,Asistente de animacion,2020-12-9,1971-6-27
Ashley Lewis,Synergistic logistical approach,Asistente de musica,1966-12-10,2015-10-22
Nancy Brown,Self-enabling encompassing Graphic Interface,Efectos visuales,1940-10-27,1980-5-10
Nancy Martinez,Synchronized tangible projection,Animador,1990-10-11,1912-3-14
Christopher Young,Expanded mobile function,Animador,1917-6-7,2016-9-28
Susan Davis,Configurable leadingedge Graphical User Interface,Animador,1983-4-23,1963-3-24
Christopher Johnson,Automated dedicated moratorium,Guionista,1967-2-6,1924-4-27
Barbara Rodriguez,Fully-configurable regional budgetary management,Camarografo,1997-3-11,1906-9-4
Nancy Lewis,De-engineered modular system engine,Efectos visuales,2012-2-10,1907-3-13
Barbara Martinez,Devolved dynamic projection,Asistente de efectos especiales,2008-12-9,2004-4-14
Linda Jackson,Upgradable executive frame,Asistente de sonido,2001-2-18,1920-5-15
Sandra Rodriguez,Sharable systemic collaboration,Asistente de animacion,2006-9-22,1969-1-24
James Thomas,Universal responsive definition,Musica,1973-8-26,2003-9-21
Jennifer Hernandez,Exclusive uniform success,Asistente de produccion,1955-7-12,1913-2-1
Margaret Garcia,Virtual optimal hub,Asistente de produccion,1962-12-9,1905-5-23
David Martinez,Polarized mission-critical infrastructure,Director,2005-7-10,1948-7-6
David Thompson,Realigned leadingedge hierarchy,Asistente de musica,1958-12-28,2005-11-26
Matthew Miller,Reverse-engineered non-volatile support,Disenador de vestuario,1970-5-20,1990-7-16
Anthony Martinez,Exclusive intangible database,Asistente de sonido,1947-8-12,1954-9-17
David Brown,Public-key systemic methodology,Asistente de direccion,1947-2-26,1926-6-22
Mary Martin,Mandatory zero administration implementation,Animador,1993-5-1,2018-3-24
David Thompson,Self-enabling asymmetric knowledge user,Efectos especiales,1950-3-20,1926-12-16
Mary Davis,Inverse homogeneous superstructure,Maquillador,2016-6-16,1941-7-13
Robert Robinson,Organized systematic middleware,Asistente de efectos visuales,1997-3-12,1932-3-14
Charles Thomas,Re-contextualized heuristic hardware,Casting,1911-12-12,2017-11-17
Karen Davis,Exclusive methodical hierarchy,Asistente de arte,1965-8-20,1923-2-16
William Moore,Operative attitude-oriented product,Efectos visuales,1919-3-4,1946-4-17
Jessica Hall,Quality-focused client-server structure,Asistente de doblaje,1967-2-28,1971-7-8
David Wilson,Diverse zero tolerance synergy,Asistente de casting,2007-6-21,2009-12-11
Sandra Miller,Virtual transitional contingency,Editor,1998-8-15,2003-6-13
Sandra Taylor,Profound eco-centric portal,Asistente de vestuario,2001-5-6,2012-4-16
Ashley White,Profound attitude-oriented frame,Asistente de direccion,1909-11-25,2000-2-24
Thomas Brown,Public-key zero tolerance encryption,Disenador de produccion,1972-8-19,1906-4-14
David Thompson,Focused well-modulated circuit,Sonidista,1950-6-21,1913-10-22
Mark Lee,De-engineered modular system engine,Camarografo,1914-5-3,1996-10-22
Joseph Garcia,Reverse-engineered fresh-thinking extranet,Sonidista,2001-7-19,1916-6-26
James Wilson,Visionary logistical utilization,Asistente de camara,1915-5-23,1996-10-10
Anthony Harris,Phased 6thgeneration conglomeration,Asistente de camara,1965-3-26,1962-2-10
David Lee,Focused clear-thinking monitoring,Asistente de musica,1942-12-21,1935-11-24
Joseph Martin,Focused clear-thinking monitoring,Asistente de musica,1949-10-23,1959-6-12
Thomas Miller,Cross-group full-range throughput,Maquillador,1920-10-5,1980-3-23
Anthony Wilson,Mandatory zero tolerance encoding,Actor,1998-7-22,1998-11-20
Ashley Clark,Balanced high-level solution,Asistente de efectos especiales,1994-3-4,1977-4-23
Anthony Thompson,Open-source optimizing paradigm,Asistente de maquillaje,1993-3-24,2018-3-4
William Davis,Multi-lateral dedicated functionalities,Editor,1928-6-27,1975-7-25
Jessica Smith,Exclusive methodical hierarchy,Asistente de sonido,1974-11-13,1976-5-2
Mark Jones,Cloned demand-driven functionalities,Asistente de direccion,1936-12-7,1960-12-4
Christopher Robinson,Cross-group exuding solution,Actor,1906-4-27,1990-12-14
Susan Brown,Open-architected clear-thinking intranet,Guionista,1930-1-6,1942-11-9
Christopher Lewis,Virtual disintermediate moderator,Asistente de vestuario,1971-7-9,1938-3-18
Christopher Smith,Profound motivating artificial intelligence,Casting,2007-2-17,1958-2-26
Margaret Lewis,Customer-focused coherent orchestration,Asistente de sonido,2004-4-27,1929-1-23
