start_node_id,end_node_id,properties.PrimaryGenre,properties.SubGenre,properties.Description
Quality-focused reciprocal middleware,Comedy,True,False,Animacion
Visionary motivating website,Action,True,False,Accion y aventuras
Profit-focused directional throughput,Romance,True,False,Comedia
Future-proofed 3rdgeneration model,Sci-Fi,False,True,Western
Front-line local Internet solution,Comedy,False,True,Deporte
Team-oriented empowering matrix,Sci-Fi,False,True,Musical
Digitized contextually-based array,Romance,True,False,Fantasia
Quality-focused object-oriented synergy,Romance,False,True,Deporte
Ameliorated mission-critical Internet solution,Comedy,False,True,Romance
User-friendly 5thgeneration approach,Comedy,True,False,Accion y aventuras
Compatible zero administration contingency,Comedy,False,True,Crimen
Stand-alone optimizing analyzer,Drama,True,False,Drama
Business-focused discrete model,Action,False,True,Crimen
Innovative asymmetric migration,Action,True,False,Deporte
Organic scalable artificial intelligence,Romance,True,False,Crimen
Devolved didactic help-desk,Drama,True,False,Familia
Expanded executive challenge,Action,False,True,Terror
Optional composite Local Area Network,Action,True,False,Animacion
Optional value-added extranet,Sci-Fi,True,False,Suspense
Enterprise-wide system-worthy help-desk,Comedy,True,False,Accion y aventuras
Object-based regional flexibility,Action,True,False,Western
Cross-group hybrid architecture,Sci-Fi,True,False,Terror
Up-sized regional intranet,Comedy,True,False,Crimen
Pre-emptive eco-centric intranet,Sci-Fi,False,True,Guerra
Ergonomic heuristic artificial intelligence,Romance,False,True,Drama
Phased 6thgeneration conglomeration,Action,True,False,Fantasia
Distributed next generation focus group,Comedy,True,False,Terror
Enhanced human-resource capability,Romance,False,True,Drama
Fundamental intangible leverage,Comedy,True,False,Historia
Front-line bifurcated hub,Sci-Fi,True,False,Ciencia ficcion
Switchable bifurcated artificial intelligence,Comedy,False,True,Documental
Up-sized maximized secured line,Sci-Fi,False,True,Documental
Quality-focused tangible budgetary management,Action,False,True,Crimen
Networked asymmetric initiative,Sci-Fi,True,False,Animacion
Right-sized attitude-oriented circuit,Romance,True,False,Romance
Cross-group directional definition,Drama,True,False,Accion y aventuras
Synchronized demand-driven toolset,Comedy,False,True,Animacion
Face-to-face incremental framework,Drama,False,True,Terror
Team-oriented multimedia ability,Romance,False,True,Guerra
Persistent contextually-based process improvement,Drama,False,True,Drama
Horizontal didactic parallelism,Sci-Fi,False,True,Animacion
Polarized radical solution,Action,False,True,Fantasia
Vision-oriented secondary info-mediaries,Drama,False,True,Familia
Customer-focused human-resource migration,Action,False,True,Fantasia
Open-architected foreground orchestration,Sci-Fi,True,False,Accion y aventuras
